Compound name,Mass,RT,C18,1C18-Ani,1C18-Cat,C8,1C8-Ani,1C8-Cat,Ani1,Ani2,Ani3,2C18-Ani,2C8-Ani,2GP-Ani,2SH-Ani,Cat1,Cat2,Cat3,2C18-Cat,2C8-Cat,2GP-Cat,2SH-Cat,1SH-Ani,1SH-Cat,1GP-Ani,1GP-Cat
Cpd1,541.337,22.58,34794747.86,39861525.05,34824987.95,32459252.34,40189308.27,30496505.98,204212.9209,173282.4947,169334.5058,,83823.64889,,,709243.6131,899582.2099,1247396.459,140325.3006,397397.2509,,,36715442.44,45275082.53,36331318.7,40722948.04
Cpd2,565.337,21.54,53671081.37,37718577.8,44328761.87,47413871.64,43110955.76,42537868.93,65032.75185,,,,,,,483434.5685,876958.6848,828323.4025,64859.48602,245711.2027,,,37779871.1,50187718.15,39652972.55,37491975.7
Cpd3,569.369,25.6,21093752.51,35328475.4,28184272.75,23802444.61,32048177.73,13752449.29,,,,,,,,1121414.313,1324939.016,1455693.848,105453.6139,293720.6998,,,45033675.82,55510707.76,53286710.95,58059997.31
Cpd4,567.353,23.2,40480316.62,46249184.68,39032581.47,34046881.9,44986935.09,25048781.64,,,,,,,,123578.0934,182507.2107,282139.6716,,,,,41361854.58,52533936.86,47394252.22,51554797.83
Cpd5,541.338,22.12,10055194.6,14176908.81,10558918.8,7828399.957,13101926.42,5561186.974,31678.86935,15093.96048,15839.88134,,,,,76860.37783,68874.33183,148979.9981,,,,,14018856.79,15793127.89,16785713.87,16843909.66
Cpd6,79.965,2.5,,,,,,,5235304.439,8252621.196,8651613.563,8908838,11168501.05,10525400.22,1353970.94,,,,45396.97149,,,,21187776.47,23407493.47,,
Cpd7,449.314,19.02,9091008.56,12362904.42,8328709.915,5103184.958,9928414.038,4054322.214,,,147399.491,,,,,586920.235,659182.0911,816517.2008,,398815.8176,1523195.208,118449.8116,9340571.741,8717968.571,115756.8175,109325.5391
Cpd8,1084.67,21.55,10289039.22,10413186.02,10350179.89,11003764.82,10618174.22,12421700.81,,,,,,,,,,,,,,,10534226.24,13046220.89,10274161.7,11088839.97
Cpd9,434.267,30.45,2850538.793,2577217.436,2545357.516,2017303.244,2287648.607,1744144.414,,,,,,,,,,,,,,,3660430.371,5439156.576,10246197.85,5819720.907
Cpd10,1092.731,25.63,4222932.045,4503210.76,3932198.854,2599329.332,4320575.714,2069843.602,,,,,,,,,,,,,,,7649628.271,9717882.979,10770759.38,12130602.8
Cpd11,1036.67,22.58,16421965.66,17046001.43,14991585.01,13736968.45,16595000.12,14288328.98,,,,,,,,,,,,,,,16445328.71,18825475.74,15874828.65,18069871.7
Cpd12,97.977,2.51,,32917.72702,,,,,2130247.327,3875189.681,4247053.059,2473491.385,4888175.593,4296384.372,261299.7598,,,,,,,,9353678.225,10398508.43,,
Cpd13,1088.701,23.2,4941822.868,7862349.985,4792925.614,3991872.65,7537272.117,3244422.633,,,,,,,,,,,,,,,7181801.694,8853125.642,8832486.796,9451842.6
Cpd14,465.309,16.54,5447516.995,6914613.774,5145734.712,5501004.821,6704439.864,4766796.966,,,,,,,1028333.329,1202935.985,1180820.323,1877685.464,,53520.13508,752553.8878,86394.24258,4969210.082,4683377.773,9094.584264,9031.685832
Cpd15,477.285,21.24,4979518.024,6725073.977,4828300.274,5444970.205,6860706.363,5820231.932,,,,,,,,24246.1495,41042.00768,64023.59687,,,,,6919737.377,7459576.673,7495825.544,7432955.416
Cpd16,1395.556,12.65,2676166.594,5857794.146,3124247.502,986704.9664,1811362.937,1102763.998,1152107.454,1593167.181,1888883.636,833586.3573,1656131.152,2696627.216,270231.6801,806384.6559,1271830.626,1502708.836,157226.6425,998949.8697,50466.32064,,7979620.964,6702625.209,,
Cpd17,539.322,20.74,7750630.997,6249685.957,6171733.701,4582806.773,6121672.782,3804832.741,,,,,,,,,,,,,,,6322515.001,8005283.54,6739816.217,6760517.305
Cpd18,1237.488,13.07,3609548.87,6491112.9,4290077.261,1400364.71,2125795.373,872377.9824,379560.0529,590521.7229,802609.3972,1791990.191,1958066.681,668419.5185,147687.7565,1453775.141,1711742.325,2068075.808,373130.5544,1156370.508,250503.6953,,4746019.482,6994046.296,,
Cpd19,569.369,25.12,3609700.147,4306655.842,1595359.643,2435394.905,3947334.434,1414665.736,,,,,,,,,,,,,,,6953099.608,5975077.029,7485497.177,8737195.707
Cpd20,1308.548,11.26,1856418.039,2031145.336,1941858.675,316378.0352,502845.5517,430668.3069,5088211.599,5315769.067,5100269.776,5862952.19,7243287.79,6411149.311,495958.1288,2395371.557,2735011.851,3604374.932,249905.4193,3581077.121,2065966.58,64284.26498,6874186.623,5863801.473,56868.4651,85782.08903
Cpd21,565.337,21.24,7631231.654,7984197.696,7861532.857,6107283.727,7005620.709,3788792.894,65369.20413,,,,,,,60226.81881,110064.68,150170.5788,65512.07655,245711.2027,,,7646739.541,8961734.503,8339223.85,7901086.639
Cpd22,1464.648,10.12,1888361.156,3162497.841,2204776.207,391200.1127,846138.3751,538311.0462,4269039.36,4529120.37,4455482.165,3123418.301,4785155.204,6647449.606,1452250.229,900540.7411,979729.7918,1325163.836,151770.0604,961674.9007,683452.2912,72943.68977,5267062.734,2530312.719,,
Cpd23,1049.465,11.09,1718395.8,1914184.465,1749420.414,254264.3523,487886.287,262598.5157,5411978.515,6014489.503,6015644.59,5284631.541,7274243.866,6036953.932,659760.8932,1687330.725,2293891.56,2174255.633,158638.6775,2746736.243,1952124.836,69620.26736,6275700.357,5132782.364,,
Cpd24,1615.651,10.47,1969864.68,1608614.248,2017187.287,346652.9339,468379.2921,368528.5263,4482105.65,4790808.176,5322413.379,4243437.329,6374403.26,5440944.483,471776.4387,705602.3333,628815.3732,1126572.505,228794.241,1362684.282,957776.4607,162272.8044,5366618.371,3975114.028,80582.42773,106555.6763
Cpd25,1459.549,11.86,424712.5366,361273.1491,425028.3158,,,,2284369.629,3076640.765,3073238.82,5218170.765,6916074.597,4318113.955,144495.6785,476163.3648,643544.3358,757734.869,175646.136,632088.881,213586.7857,36695.14047,435187.2977,665929.2008,168415.2689,203115.9776
Cpd26,589.338,21.6,7290924.594,5662924.082,6708832.03,7208915.805,6248559.905,7077966.629,,,,,,,,,108109.8525,167276.3097,,,,,5640310.572,6724092.792,5545517.413,5921543.034
Cpd27,481.316,25.01,989826.2152,1485095.392,1015500.002,862312.1196,1780734.66,622208.1048,,,,,,,,,86240.11038,67074.23574,,,,,2968340.041,3192144.977,4972832.464,5378643.573
Cpd28,513.307,20.08,5087850.205,4841620.774,3904048.381,3014812.351,4260658.587,3855872.234,,,,,,,,,61660.79544,55670.89105,,,,,4258812.32,5627609.074,4346518.544,4609165.995
Cpd29,1544.613,10.56,1495156.047,992276.1698,1519352.851,303725.7673,395135.515,382430.6374,3191460.056,3845991.854,4110307.297,3656172.976,5735947.023,3509291.704,297764.733,414102.0626,386468.1023,713694.3346,192527.4472,1009944.27,693806.5948,148828.8609,3815811.9,3474547.729,145079.7367,211912.857
Cpd30,559.34,25.64,,3884734.506,,,3633784.184,,,,,,,,,,,,,,,,5253768.747,2295461.506,1115560.891,4157775.559
Cpd31,264.111,10.15,,,,,,,3473574.826,4098433.936,4454159.739,5111130.648,5836182.81,2772732.271,2776768.664,,,,,,,,377300.8557,376583.5771,,
Cpd32,1062.685,23.09,7093206.635,2753153.123,7205248.272,5020963.953,2505340.76,5472952.949,,,,,,,,,,,,,,,3397754.183,4378540.932,2849876.321,3281816.008
Cpd33,943.35,7.94,,,,,,,219410.8202,422248.5812,356337.1705,,,,,,,,,,,,6433497.27,7016481.978,,
Cpd34,557.325,23.19,,4023027.529,,,4213650.37,,,,,,,,,,,,,,,,5403481.175,1597066.332,1120528.403,4478118.177
Cpd35,863.402,11.23,1674739.492,2073242.329,1871048.322,331371.2451,674010.6565,340758.5298,5293869.504,6067865.356,5989192.574,3481420.954,5535981.844,3931635.112,1113360.563,1213954.386,2061369.79,1341875.747,140923.9216,1962754.968,937020.8778,60726.24501,4541427.658,3439268.228,,
Cpd36,1324.524,12.45,2355742.745,2946749.057,2379438.662,848577.3817,1160564.085,704277.3649,1388757.541,1810689.103,2247958.331,1338318.597,2461575.89,2436115.26,148368.6714,487708.6262,648070.1767,755608.9418,196340.3933,868959.2125,64846.22528,,3967848.14,4792954.313,,
Cpd37,168.028,2.91,,29694.31403,,,50236.8137,,3652103.324,4493966.617,3965921.256,5139991.946,4222336.967,1820302.957,1291553.792,,,,,,,,3439259.554,3827407.853,,
Cpd38,479.301,22.87,1780839.26,3439829,2284430.112,1898526.257,3242021.743,1932080.649,,,,,,,,,,,,,,,3162211.617,2787066.611,3936359.96,4367564.493
Cpd39,179.058,10.32,,,,,,,3809056.782,4333489.32,4665425.264,3889057.156,4618926.693,2422108.577,2400889.474,,,,,,,,,,,
Cpd40,589.905,2.87,,,,,,,,,,,,,,2694032.198,3361057.452,3764771.989,2538409.617,4643209.698,3394579.897,2931543.99,,,,
Cpd41,501.285,21.33,2513220.505,3209395.915,2329649.07,2216954.347,3459639.068,3159502.336,,,,,,,,,,,,,,,3203899.006,3452818.851,3439120.004,3580204.533
Cpd42,555.354,24.02,1181787.981,2615493.578,1366314.915,1670112.144,2497449.505,855235.4493,,,,,,,,,,,,,,,2991421.296,4094098.275,4032660.583,4013025.14
Cpd43,312.147,11.2,1071311.361,962499.2399,965473.3692,138013.5323,167903.8442,124929.7802,1623225.678,1411440.85,1335018.559,1401962.623,1786620.367,3658912.638,3247124.033,,,,202535.5043,,,68996.57339,1259654.825,1386655.4,90123.61233,83496.90607
Cpd44,956.98,2.72,,,,,,,2258838.626,3004230.388,3363497.483,1941579.829,3249986.61,1224675.309,489373.7566,,,,,,,,4272528.404,4885232.48,,
Cpd45,555.309,21.65,,2127701.651,,,2219008.963,,,,,,,,,,,,,,,,3485939.477,1469452.617,684970.3766,2648478.52
Cpd46,531.309,22.64,,2013611.488,,,3116018.158,,,,,,,,,,,,,,,,2935249.956,970881.7737,558542.6761,2490638.206
Cpd47,180.078,18.75,2577189.766,2934619.544,2413797.832,2600965.887,2901218.113,2461177.704,,,,,,,,,,,,,,,3107786.669,3629266.533,2688272.091,2901815.223
Cpd48,521.918,1.96,,,,191797.4672,130053.0507,153676.941,9430.441353,10443.14356,42729.04769,,19393.57922,38027.74245,,657063.7441,775796.2126,851610.8453,1387576.521,725968.925,1003472.127,747618.9362,156663.4081,197658.7322,31961.15638,64117.99298
Cpd49,379.248,20.11,2874152.793,1710132.061,2796164.976,1891955.674,2568274.705,1813474.47,,,,,,,,,,,,,,,1478688.467,1902779.952,2370370.396,3514433.813
Cpd50,453.285,22.22,1971401.003,2455302.469,1563900.474,1399592.255,2222453.845,1375654.216,,,,,,,,,,,,,,,2317615.73,2529606.521,2937403.623,3027204.841
Cpd51,1060.669,22.06,2616845.498,887009.468,2675075.436,1915634.159,766325.0906,1254416.464,,,,,,,,,,,,,,,1029486.355,1528754.057,923283.6748,980614.7319
Cpd52,1036.67,22.18,2049765.837,3285316.303,2091432.643,1151383.366,2696942.648,694143.2074,,,,,,,,,,,,,,,3290991.456,3818281.585,4147066.822,4689579.244
Cpd53,515.291,17.36,,3222269.497,,,3094402.269,,,,,,,,,,,,,,,,1871938.401,2210173.327,,
Cpd54,1090.419,10.97,,,,,,,1357899.237,1548909.214,1576519.662,2676625.071,3072518.35,1644942.576,91466.31145,,35803.84325,,,39663.06683,,,330935.3431,763527.6929,,
Cpd55,525.343,23.58,1714369.1,2080201.096,1609981.422,975715.258,1859019.611,1084262.552,,,,,,,,,,,,,,,1558993.91,1912150.734,2627871.088,2850609.092
Cpd56,943.351,3.53,,,,,,,2917078.816,4225992.367,2730227.131,3544622.774,5403748.611,1027755.908,129225.1195,,,,,,,,,,,
Cpd57,449.314,19.31,1109936.238,2111525.513,1566812.207,1436022.214,1999520.71,,,,,,,,,38602.70065,80320.71565,103090.2825,,,319379.227,,2543219.021,2195993.784,48544.01672,40687.09943
Cpd58,525.285,21.24,2177122.995,2070387.813,2205071.917,2001295.57,2170656.031,2044219.835,,,,,,,,,,,,,,,2124704.326,2317092.851,2243843.073,2315406.364
Cpd59,657.893,2.87,,,,,,,,,,,,,,2028393.493,1271460.141,2883188.925,2268577.296,2575829.694,2528195.731,2787010.063,,,,
Cpd60,531.309,22.05,,1611930.933,,,1552132.725,,,,,,,,,,,,,,,,3392575.153,1172737.748,463215.8469,2885329.29
Cpd61,304.24,28.91,1108561.395,509242.5424,922841.3966,734905.165,480973.342,571026.4638,,,,,,,,,,,,,,,591885.6068,1116166.905,2300545.742,755534.0631
Cpd62,793.867,2.87,,,,,,,,,,,,,,1465347.999,2031208.455,2347562.36,1750689.594,2269320.098,2035194.815,2187771.744,,,,
Cpd63,553.373,24,1281241.681,1594565.768,1194185.524,971402.8123,1511708.116,857335.3958,,,,,,,,,,,,,,,1613663.081,1968160.334,2018378.22,2143405.143
Cpd64,996.617,21.24,1656561.535,1998130.38,1692156.085,1259699.439,1997196.981,1780914.457,,,,,,,,,,,,,,,2153716.267,2282886.735,2158804.278,2316449.912
Cpd65,1205.567,9.85,769879.9625,1219906.447,846934.1504,199640.8532,460657.7841,263973.6372,1502754.838,1550737.911,1596542.396,1177424.317,1932806.562,2211362.667,1345235.341,166477.9547,174692.3336,324081.1887,65334.78705,141048.8896,123153.0685,,1292498.77,616359.1167,,
Cpd66,725.88,2.87,,,,,,,,,,,,,,1776601.521,2259849.201,2623396.01,1975068.109,2549101.59,2253496.359,2438801.355,,,,
Cpd67,943.35,3.53,,,,,,,2857881.425,4255926.085,4474241.426,3561896.951,5403555.643,1027755.908,76607.10037,,,,,,,,,,,
Cpd68,477.285,20.96,1345853.926,1778334.429,1376525.905,1085706.647,1657424.416,519109.6987,,,,,,,,,,,,,,,1816604.247,1909782.683,2266733.752,1952277.183
Cpd69,515.292,21.23,1093606.594,,1755351.235,1614156.445,,,,,,,,,,,,,,,,,,,,
Cpd70,1396.56,12.65,1601901.375,2716209.022,1860026.832,584080.2395,1085591.654,625945.7892,696554.6595,989245.6659,1153359.313,568193.4819,1168795.446,1564972.085,177043.246,511433.5301,681057.7006,751499.8285,108305.3556,590540.8159,84808.66516,,4734300.111,4290449.004,,
Cpd71,861.854,2.89,,,,,,,,,,,,,,1290522.036,1668037.029,2007355.679,1405965.744,1841321.299,1661124.193,1787523.147,,,,
Cpd72,527.357,23.36,1341974.969,1511979.496,1337537.217,1020980.663,1383065.689,924860.9597,,,,,,,,,,,,,,,1561570.134,1859873.759,1912293.603,2004795.653
Cpd73,305.921,1.79,941477.7022,727485.9355,930440.3592,806825.9845,929115.3396,982509.0643,234215.664,203250.7991,173286.0021,1864194.97,1665189.333,1663553.424,1154434.458,,,,,,,,2199877.219,2175176.942,1495443.17,1644669.718
Cpd74,887.497,21.31,,3277285.322,,,1449526.966,,,,,,,,,,,,,,,,203421.0636,222657.6385,,
Cpd75,181.073,3.23,,,,,,,,,,,,,,864616.778,1320298.547,1648369.901,,2041521.857,1844947.987,61491.03956,,,,
Cpd76,1074.64,21.61,,1622426.501,,,1709524.602,,,,,,,,,,,,,,,,2536216.403,1010605.392,521516.8136,1972477.684
Cpd77,555.353,23.66,968538.1288,1310497.632,808040.179,665378.2493,1219910.468,377292.7618,,,,,,,,,,,,,,,1280738.588,1612351.88,1891965.33,1929249.001
Cpd78,408.287,18.62,1694991.518,1672191.305,1549520.659,1555794.512,1628885.001,1530038.787,,,,,,,41375.271,192723.2551,243866.0145,267908.0031,,,710505.7998,,1149991.105,1336422.943,,
Cpd79,559.323,23.13,,1242339.257,,,1288613.826,,,,,,,,,,,,,,,,1450359.339,548962.5457,307880.0186,1326443.615
Cpd80,557.307,23.19,,3760117.936,,,3882949.888,,,,,,,,,,,,,,,,4737527.09,1558975.458,917246.0668,4369582.89
Cpd81,328.24,28.52,490239.1188,377773.6491,406000.2162,328262.2052,335906.3106,239183.3325,,,,,,,,,,,,,,,480677.3878,761922.902,1671471.979,698491.1659
Cpd82,481.316,22.63,1180323.123,969283.7448,828513.212,828035.5503,1727141.226,1331930.107,,,,,,,,,,,,,,,1765097.259,1772721.374,1494738.852,1827227.837
Cpd83,204.09,8.24,,,,,,,1772709.424,1624207.418,1858744.847,1454547.133,1452523.051,,,396866.9634,1575946.829,,1893196.185,710372.4633,303172.6447,913691.1084,,,,
Cpd84,561.338,25.52,,1058714.773,,,970373.0753,,,,,,,,,,,,,,,,1863366.519,483967.0725,430659.4679,1558537.644
Cpd85,450.262,22.01,621024.1394,1522607.954,633237.8873,398237.3052,1176738.873,321118.9351,,,,,,,,,,,,,282282.8372,,907516.8644,773906.2869,845420.7102,615498.8951
Cpd86,280.24,29.31,1309105.019,333152.458,1072342.777,890819.2707,325950.2236,628830.8458,,,,,,,,,,,,,,,457081.3188,910189.1987,1599133.646,337845.6365
Cpd87,591.353,22.38,1848715.721,1466724.483,1634692.212,1769754.353,2319596.701,1336044.46,,,,,,,,,,,,,,,1581546.518,1757667.472,1690019.973,1420787.032
Cpd88,920.422,11.05,442931.0067,630677.4072,468790.9333,77302.76737,244003.8425,133496.0076,1203394.672,1639214.192,2106757.349,1016303.851,1771031.867,787607.2686,378654.1971,275385.3953,330075.1403,261027.9295,,359800.362,267637.5262,,1250649.106,1012612.893,,
Cpd89,1082.702,25.52,,1285123.545,,,1137060.959,,,,,,,,,,,,,,,,1940475.562,899704.9039,739977.5474,2567679.076
Cpd90,529.293,20.72,106616.7643,1241651.792,119361.2955,,1257234.726,,,,,,,,,,,,,,,,1847054.894,761654.5818,398104.7219,1419547.568
Cpd91,1388.511,11.86,,,,,,,,,,1307220.341,1757388.95,918120.0882,,,,,,,,,,,,
Cpd92,135.068,10.36,,,,,,,1077143.905,1201553.829,1330085.145,1487059.954,1708655.725,881128.8362,920606.2004,,,,,,,,210543.7672,244812.7955,,
Cpd93,711.377,25.68,,,,,,,,,,,,,,,,,,,,,2178460.492,2434777.053,,
Cpd94,131.094,3.27,,,,,,,,,,,,,,1465225.712,1690519.76,1578060.585,,2404372.337,1218589.599,145871.1074,,,,
Cpd95,748.374,10.31,918489.9753,858328.9636,924696.5576,194799.0895,345744.2015,177452.646,1673239.253,1845692.257,1871883.523,773282.3432,1621550.405,942784.77,615376.0364,93037.33025,150153.877,128079.3435,45054.97028,134022.5358,120979.2835,,693703.8142,725799.9233,,
Cpd96,165.079,3.9,,,,,,,29434.24626,39908.48676,41871.2464,60537.26351,81605.33588,,,993791.8186,1729322.561,369959.3659,29588.78619,1607384.413,221146.5723,228114.7003,,,,
Cpd97,282.255,31.07,618078.8543,193468.5423,525720.749,445554.4387,198744.8317,314746.5957,,,,,,,,,,,,,,,304460.0849,780633.1675,1422698.243,380661.8756
Cpd98,948.616,22.24,630916.7817,1187052.018,688806.7273,459215.2712,1090118.138,411727.1308,,,,,,,,,,,,,,,1208349.51,1216458.794,1364824.006,1551197.909
Cpd99,146.069,10.1,,,,,,,1062974.454,1290702.185,1342899.81,1411536.63,1614264.693,818595.8122,825610.4495,,,,,,,,,12938.93871,,
Cpd100,533.307,22.04,,839687.712,,,790647.3971,,,,,,,,,,,,,,,,1117925.232,414068.7943,260854.2359,967613.5281
Cpd101,974.632,22.85,828281.9277,1014160.278,809786.0195,684067.163,1068548.538,657035.5425,,,,,,,,,,,,,,,1151932.128,1210796.161,1309895.751,1447712.617
Cpd102,1026.64,22.63,,2577419.471,,,2661912.742,,,,,,,,,,,,,,,,3484036.718,1344173.816,784476.9483,3060567.957
Cpd103,929.841,1.97,,,,39496.84599,28094.89961,29511.67619,,,6686.426731,,,,,288887.7991,294155.1284,327730.7104,320214.7743,148144.2193,378409.7519,241843.359,39573.06467,58554.23293,8113.911936,14887.47375
Cpd104,587.322,20.4,1419749.542,1347504.205,1389235.737,1373348.229,1333985.407,1269222.968,,,,,,,,,,,,,,,1232279.409,1682206.83,1320281.762,1360990.972
Cpd105,956.98,2.79,,,,,,,2399585.042,3075149.227,3570084.455,2548803.202,3563238.003,1449092.045,398125.8338,,,,,,,,4272528.404,5302433.374,205914.0882,
Cpd106,709.361,23.26,,,,,,,,,,,,,,,,,,,,,1626255.959,1816847.244,,
Cpd107,563.321,20.52,1171843.476,1038098.296,1089905.559,1002955.681,1018270.157,925459.8426,,,,,,,,,,,,,,,916248.4582,1235747.526,791142.1352,1047271.676
Cpd108,1020.617,21.33,1051121.883,1172110.411,1007118.382,857434.3461,1277564.268,1170788.488,,,,,,,,,,,,,,,1360442.923,1423478.675,1298886.338,1386548.377
Cpd109,1078.673,23.13,,1450561.066,,,1470982.076,,,,,,,,,,,,,,,,1786714.839,732546.6018,480359.7005,1779916.145
Cpd110,527.321,21.21,962849.3456,1084254.063,973867.6101,695904.6067,974241.7165,475808.8423,,,,,,,,,,,,,,,1099254.341,1305611.898,1037050.214,1160368.041
Cpd111,505.316,21.54,1247869.563,1245624.951,1143538.294,1108200.239,1348865.708,1197983.842,,,,,,,,,,,,,,,1469195.113,1419250.234,1072725.866,1368469.61
Cpd112,289.944,1.73,491576.377,361686.5676,465509.1126,546149.1383,480256.8445,478546.5103,73774.20078,68947.23735,62393.71967,798601.0167,654618.3078,703817.0421,423420.4467,,,,,,,,1195926.022,1201187.828,724821.2065,793568.1572
Cpd113,507.332,23.21,705388.7125,1072322.696,658108.4872,603258.912,1051258.871,493292.3662,,,,,,,,,,,,,,,1127463.905,963237.5052,891535.4676,1144161.182
Cpd114,589.905,1.96,,,,217275.5868,156982.723,181768.8749,7976.066818,12314.96161,42038.12678,,18872.62032,37015.57149,,898324.8864,851499.452,1059782.831,2094070.6,755832.0526,1276596.975,688177.9612,184008.6426,225571.2675,39727.59802,71026.51827
Cpd115,593.368,23.93,766306.6681,848840.8489,722531.3872,622020.7766,948900.3636,538790.6354,,,,,,,,,,,,,,,1107047.681,1139490.586,1390242.03,1289176.521
Cpd116,1193.52,11.04,467970.9659,546068.1922,433102.2049,79845.14357,155359.9481,94655.90281,694943.7194,734586.289,781681.1927,818670.6917,1149498.808,1146636.647,166147.5735,395689.1061,454586.0861,462911.244,,556346.7276,465982.4599,,1159834.004,911954.84,,
Cpd117,481.317,22.37,266453.2735,536349.9396,281278.9714,235650.9295,510875.997,,,,,,,,,,,,,,,,1765598.593,1772308.796,1493944.337,1828413.721
Cpd118,794.163,26.26,,,,,,,,,,,,,,,,,,,,,1270041.71,168984.1425,1005905.295,495746.5306
Cpd119,503.278,20.03,92387.06312,1011370.783,97487.2836,,897971.2004,,,,,,,,,,,,,,,,1317087.212,570431.4439,294525.0502,989364.7435
Cpd120,192.027,3,,,,,,,1510000.589,1471648.404,924252.3474,161067.9953,914746.0661,734609.6275,93814.89082,,,,,,,,,,,
Cpd121,1004.678,25.1,185267.6335,281240.8348,151919.7712,110516.9137,263830.4129,66131.0546,,,,,,,,,,,,,,,614894.7226,630328.2849,1003584.972,1282891.204
Cpd122,637.356,25.64,1533923.105,1168685.785,1359853.709,1437221.692,1141037.411,1420568.944,,,,,,,,,153249.7429,161662.936,,,,,1136893.648,1746622.558,1505044.337,1503696.194
Cpd123,555.309,21.35,,342261.9435,,,295305.9373,,,,,,,,,,,,,,,,1231889.494,444892.7664,247571.3978,896368.2128
Cpd124,136.052,8.7,,,,,,,834283.2644,974657.8494,1049791.981,1117644.442,1331398.593,260883.1014,291176.2663,,,,,,,,230223.7742,240541.2104,,
Cpd125,613.337,21.43,1363654.861,954265.4089,1306019.532,1421677.147,1072204.102,1262807.649,,,,,,,,,,,,,,,993629.3768,1171771.276,938686.5631,1020481.384
Cpd126,481.316,24.58,55517.07692,116059.263,101656.3627,50844.20824,200071.0804,,,,,,,,,,87885.45272,81099.23233,,,,,334610.3483,315445.6548,611521.3638,597858.3189
Cpd127,435.879,1.73,501017.767,412958.2035,495420.9157,400247.3424,380393.6468,391711.5765,68796.89284,59508.50233,44451.0568,818788.9002,649145.1035,763032.0345,371925.5215,,,,,,,,1122219.251,1121218.821,988620.3529,1040417.2
Cpd128,1084.669,21.23,895159.4584,862061.1593,855888.649,594299.6061,773234.5563,421494.4299,,,,,,,,,,,,,,,884427.2828,1057731.862,950550.0534,968109.321
Cpd129,970.365,11.47,86064.62679,67660.56568,101466.7277,,,,727480.8803,735026.2726,705073.4477,993537.7212,1186761.946,998497.8576,,174626.4805,236287.3238,185804.0263,,312264.0142,161126.3263,,1005125.041,912316.9108,,
Cpd130,557.332,20.33,572837.0367,630768.5096,540898.9396,403753.4316,495464.9344,289242.8172,,,,,,,,,,,,,,,443687.9398,792414.8224,597071.6434,642198.0712
